Source,Core_ldh_AP,Core_xdh_AP,Core_xdx_AP,Core_Anno_AP,Core_BERT_AP,Answer_ldh_AP,Answer_xdh_AP,Answer_xdx_AP,Answer_Anno_AP,Answer_BERT_AP,Gramm_ldh_AP,Gramm_xdh_AP,Gramm_xdx_AP,Gramm_Anno_AP,Gramm_BERT_AP,Interp_ldh_AP,Interp_xdh_AP,Interp_xdx_AP,Interp_Anno_AP,Interp_BERT_AP,Verif_ldh_AP,Verif_xdh_AP,Verif_xdx_AP,Verif_Anno_AP,Verif_BERT_AP
I17T-gNSC-vs_r2-Di-N14-VS-N70,0.6730114917642365,0.651877442080234,0.6724961501000202,0.7110644257703082,0.6432651867362327,0.6308097514970827,0.6269211440744195,0.703765796819797,0.7076479076479076,0.6616856338535225,0.587677353958037,0.5769236246320597,0.6165211240852249,0.677124183006536,0.6005451259043157,0.7710997854443682,0.7555725091748995,0.7828816775339744,0.7560956200662081,0.7330190764979758,0.780683158587312,0.764855089014341,0.7708632194443008,0.7754408320705332,0.7532343450578837
I17U-gNSC-vs_r1-Di-N14-VS-N70,0.796046501395483,0.7755997856934941,0.721556869646753,0.7891016391016391,0.7209951798884866,0.9274139440068281,0.9298866410088986,0.9840033387833448,0.9542999289267946,0.9779843338270688,0.7824426488345873,0.7749456625440894,0.8036233527633146,0.8167032967032968,0.7614943624431769,0.9241441072677667,0.9119066276228949,0.8595665081871784,0.8642007565084489,0.829170473030451,0.9668759732773632,0.9650629076458277,0.9265127107869907,0.927488524547348,0.9041703813201369
I17U-gNSC-vs_r2-Di-N14-VS-N70,0.8090462894886834,0.7605595109807755,0.7556191930717713,0.7891016391016391,0.754197184167011,0.9541092101795707,0.9528971810685081,0.9970434268970054,0.9542999289267946,0.9788578162062953,0.7682863951146428,0.7597630732986724,0.8120386042687581,0.8167032967032968,0.8017611126732692,0.901596098245498,0.8817162015368114,0.8601055003812887,0.8642007565084489,0.8440110416576321,0.9480936936416875,0.9357456550746942,0.9202125457845256,0.927488524547348,0.9061786495340828
I18T-gNSC-vs_r1-In-N14-VS-N70,0.41823355977083765,0.418557686762758,0.4155841586755712,0.47448179962320236,0.4010000314653793,0.6478397804900234,0.6506610564705402,0.728494073911442,0.6926250928993517,0.6686119136995821,0.7174553559222308,0.7208751891706111,0.7067659139698325,0.6796450972862262,0.6784578817681094,0.7387684925527217,0.7390907690454089,0.7232395686563301,0.6792551270997383,0.6911550118487612,0.41903633298740395,0.4194622100810745,0.4167039280466139,0.47450764743130824,0.40199324604885756
I18T-gNSC-vs_r2-In-N14-VS-N70,0.41631677138190076,0.41664089837382107,0.41469326293925357,0.47448179962320236,0.40437195904643997,0.6728354039990261,0.6684799808550067,0.7175595856731001,0.6926250928993517,0.6670060246612108,0.7270675787172566,0.7346509665889787,0.7255133562980512,0.6796450972862262,0.6822092462895817,0.7260012464653549,0.7312422817323293,0.7085162453028708,0.6792551270997383,0.6806376415360508,0.41674650890841247,0.41707063590033283,0.41474182548781613,0.47450764743130824,0.40502326852127885
I18U-gNSC-vs_r1-In-N14-VS-N70,0.5785542396667854,0.576696573523405,0.5952833630779366,0.6282124707590545,0.5494843830864098,0.7651128358550899,0.772950929683251,0.8114309507796832,0.7701634355982183,0.8232848450431212,0.8296442418114962,0.8404052099346195,0.8414404282448544,0.8242630385487528,0.8533137917015761,0.8173805480521138,0.8153521597737254,0.8093496989558915,0.7966312089032986,0.8009629208877429,0.5449974574025451,0.5456369547811729,0.5419642743187624,0.6124741200828159,0.5268097370233802
I18U-gNSC-vs_r2-In-N14-VS-N70,0.5903277209891389,0.5720094239382961,0.5792894727983319,0.6282124707590545,0.5494918028942498,0.776163136156327,0.7812820575480477,0.7777111716868389,0.7701634355982183,0.8208917822456466,0.8191192172007937,0.8275286761915812,0.8220114995642,0.8242630385487528,0.8526154352434159,0.8301748407050468,0.8122354006631334,0.7855820090302886,0.7966312089032986,0.8086223721430196,0.5426711136944543,0.547463570194745,0.5655649089669982,0.6124741200828159,0.5272069685906885
I19T-gNSC-vs_r1-Tr-N14-VS-N70,0.8588735220754589,0.8641871525484114,0.9536964661005318,0.8756132756132756,0.8499257571364099,0.8052242624179055,0.8034640613930725,0.8000971581507932,0.7618226600985223,0.7264570646044104,0.8166833064329874,0.8144798372453007,0.8015307382046271,0.7966583124477862,0.8388565095309946,0.9582740299092758,0.9620092450956331,0.9911780139795537,0.9547964113181505,0.9732396651813429,0.8993342642560108,0.9056422135453691,0.920932272430541,0.8776334776334777,0.8620289317395846
I19T-gNSC-vs_r2-Tr-N14-VS-N70,0.8756585964336745,0.8784997353639202,0.9563875042843015,0.8756132756132756,0.8488559003160487,0.7965779920552509,0.8043430982967005,0.8185451000870106,0.7618226600985223,0.7335599178509635,0.7975567826490766,0.7969704912632327,0.8046877429399467,0.7966583124477862,0.8346703495308654,0.9580906000150752,0.9583906518799136,0.9907863179356837,0.9547964113181505,0.9717761003861358,0.8864163952016055,0.8868929285270545,0.928582243445072,0.8776334776334777,0.8609590749192233
I19U-gNSC-vs_r1-Tr-N14-VS-N70,0.914470298161143,0.9098254436639326,0.9026997211776021,0.9017574465335659,0.9076858996856261,0.8977934012603651,0.9072539665245055,0.9359600444573347,0.9476545842217485,0.8980697815142141,0.8450870738046902,0.8552349770203674,0.9005715674754913,0.8555815768930523,0.8075673425636906,0.9089061488653136,0.9071268078856862,0.9077209895625726,0.8757176157176156,0.8549207791819413,0.8633186204659646,0.862654281647846,0.902986034400994,0.8562094155844155,0.845715589699487
