Source,Core_Anno_AP,Core_ldh_AP,Core_xdh_AP,Core_xdx_AP,Core_BERT_AP,Answer_Anno_AP,Answer_ldh_AP,Answer_xdh_AP,Answer_xdx_AP,Answer_BERT_AP,Gramm_Anno_AP,Gramm_ldh_AP,Gramm_xdh_AP,Gramm_xdx_AP,Gramm_BERT_AP,Interp_Anno_AP,Interp_ldh_AP,Interp_xdh_AP,Interp_xdx_AP,Interp_BERT_AP,Verif_Anno_AP,Verif_ldh_AP,Verif_xdh_AP,Verif_xdx_AP,Verif_BERT_AP
I06U-gNSC-vs_r1-Tr-N50-VS-N70,0.5651138548489524,0.5845712500431791,0.5845773182403653,0.6818725505211853,0.6381226711409949,0.7064905434229641,0.7126100628784211,0.7184111133394177,0.7933301480639673,0.7616912045347922,0.5660094465754136,0.6521869483599987,0.6555677728406504,0.7036562320940528,0.6211088989062367,0.7534336536952732,0.8058771313944846,0.8065872699450977,0.8304063722531436,0.7662686036618558,0.758621068433786,0.8284093553201402,0.8232854088351371,0.8377993494060263,0.8220018014273437
I06U-gNSC-vs_r2-Tr-N50-VS-N70,0.5651138548489524,0.5689022234379385,0.5687710542918321,0.6738127445613684,0.6265716741600095,0.7064905434229641,0.7140927395610535,0.7159120782109325,0.7899980806164205,0.7671680694315974,0.5660094465754136,0.6553479719381933,0.657587579021703,0.6696303537056734,0.6134875498683394,0.7534336536952732,0.8046305422624164,0.8043722092160538,0.8201436592800385,0.7586727889083723,0.758621068433786,0.8220857330040955,0.8209391330213693,0.8415685857621968,0.8131903774304408
I07T-gNSC-vs_r1-In-N50-VS-N70,0.9340972752737458,0.9572469485531768,0.9572469485531768,0.9461497843554294,0.9292774325649277,0.849063231850117,0.8278718549210353,0.8278718549210353,0.8523839548429714,0.7975916309610244,0.9174144037780401,0.9132880822386169,0.9132880822386169,0.912624199684317,0.8925352261254126,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,0.9183271951928669,0.9525129081483339,0.9525129081483339,0.9512211959521781,0.8982083584370827
I07T-gNSC-vs_r2-In-N50-VS-N70,0.9340972752737458,0.948423419141412,0.948423419141412,0.9332879729642062,0.9225946052987893,0.849063231850117,0.8360685762325107,0.8360685762325107,0.8486954302528074,0.7925254605803134,0.9174144037780401,0.9057123246628593,0.9095002034507381,0.9048118100537453,0.8940055397270849,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,0.9183271951928669,0.9525129081483339,0.9525129081483339,0.9372730793921215,0.886387807071789
I07U-gNSC-vs_r1-In-N50-VS-N70,0.8613839285714285,0.8011499384632168,0.8011576355075518,0.8033921547539774,0.7911647827912937,0.9334733893557422,0.9060361625952302,0.9060385773542373,0.9087057740839929,0.9044643949746729,0.8277777777777777,0.7665084031081628,0.7665207183790987,0.7547391829478717,0.7688417692357754,0.8881673881673883,0.855607567986859,0.8556125438539038,0.8605466475381287,0.8413422164846074,0.8770329670329671,0.8412815630514323,0.8412878785749893,0.8837013667576499,0.8209129841706341
I07U-gNSC-vs_r2-In-N50-VS-N70,0.8613839285714285,0.8003883099345772,0.7995117021075384,0.7998594905784862,0.790803032638107,0.9334733893557422,0.909003382341427,0.9090006992758636,0.9061735843893477,0.904483179862811,0.8277777777777777,0.7664943757682023,0.7662414178315862,0.7383111750331033,0.7772868032844225,0.8881673881673883,0.8583640856212684,0.8583585568801075,0.8517506883013521,0.8402986736567015,0.8770329670329671,0.8540321219931619,0.8540251047447653,0.873630163878822,0.826700819616778
I08T-gNSC-vs_r1-Di-N50-VS-N70,0.6087892151013359,0.618225262074856,0.6129890987604767,0.6547333476850917,0.5961807642798083,0.7311813790074659,0.7148337387025366,0.7189386971471641,0.7433469747474479,0.7180730764649799,0.6694828202269674,0.6677125592737064,0.6652524957285683,0.733292043556285,0.6657133724658412,0.7242950338554829,0.8150983740848883,0.8155418027413387,0.7601773811402983,0.7636478181934679,0.7588767698603763,0.8345694284640298,0.8365066927479008,0.8140484779367306,0.7739289917855598
I08T-gNSC-vs_r2-Di-N50-VS-N70,0.6087892151013359,0.6090872231424014,0.6099348541772234,0.6494566964531652,0.5945147191379634,0.7311813790074659,0.7155769410426263,0.7105765464095014,0.7486295715579793,0.715667959262509,0.6694828202269674,0.6576252344385854,0.6570745514265605,0.7286913998093512,0.6724974775618241,0.7242950338554829,0.814890542014463,0.8123581461328067,0.7540527565691517,0.7654659116942694,0.7588767698603763,0.836728285915944,0.8330748747975979,0.809741534697209,0.7729823157105502
I08U-gNSC-vs_r1-Di-N50-VS-N70,0.5270287757630266,0.48797258452669456,0.49153741297103004,0.48731072226955513,0.5087773102894493,0.7418171174176298,0.7194030113818963,0.7238780448813311,0.7626719959584063,0.7340622044650551,0.7428065093183773,0.7974289363513677,0.80011355626224,0.7918241607496495,0.8183237873653451,0.7507850408498732,0.7893666944697887,0.7881317888998366,0.8071685913246689,0.7649719431884264,0.6705293011234166,0.7492329942724626,0.7487980140657066,0.743687900099084,0.7436416491334976
I08U-gNSC-vs_r2-Di-N50-VS-N70,0.5270287757630266,0.49762677506526,0.49634500383380165,0.4885798692041078,0.5288563193293883,0.7418171174176298,0.7128581152605686,0.7126105663179139,0.7865834243691424,0.7365701120715686,0.7428065093183773,0.7966416172519896,0.7951055273426594,0.8025115521326702,0.8115187212387465,0.7507850408498732,0.783946306156736,0.7904180260580894,0.8105034107095963,0.7714223784144272,0.6705293011234166,0.7590469683841589,0.7565501542345057,0.7404798347191047,0.7458445810372922
I09T-gNSC-vs_r1-Tr-N50-VS-N70,0.8395502645502645,0.8035259715825377,0.8006970697868562,0.803462298385418,0.7863559940971665,0.9278499278499279,0.8956057286260785,0.8925154632938112,0.8723126489265584,0.8786653942514882,0.8089588377723971,0.7414605654385465,0.7416170618149359,0.7332580150236856,0.7314898490231424,0.8521205357142857,0.8354274726214057,0.8319985019559558,0.8445952281464318,0.8232808981718873,0.866941391941392,0.8579061407187343,0.8550875026166955,0.8540087949995261,0.838739981022331
I09T-gNSC-vs_r2-Tr-N50-VS-N70,0.8395502645502645,0.8043906479374101,0.7999094314992179,0.8023982552214479,0.7973399936483051,0.9278499278499279,0.8812581208961178,0.8825921757969942,0.8761862312975831,0.8872119157177478,0.8089588377723971,0.73347442008949,0.7334969624062025,0.732426888616895,0.7545279262135764,0.8521205357142857,0.8443241582988817,0.839056808233012,0.8439814768880994,0.8327080865686708,0.866941391941392,0.8519035108699505,0.8479529704821632,0.849783605309552,0.8466582601464319
