Source,ldh_spear,ldh_p,xdh_spear,xdh_p,xdx_spear,xdx_p,BERT_spear,BERT_p
I22U-gNSF-r2-Tr-F14-VS-N70-W,0.3557884064413612,0.0025051955065059106,0.26325907094147577,0.027670674260744915,0.07694544741569423,0.5266553322859737,0.4296993520580163,0.00020543430774837604
I23T-gNSF-r2-Di-F14-VS-N70-W,0.03926239360010878,0.7469205755117181,0.05535266121814518,0.6490199512232389,0.08741851694887817,0.4717677155230149,0.6816836670893035,8.24391491439843e-11
I23U-gNSF-r2-Di-F14-VS-N70-W,-0.16090144336280626,0.18330505591896934,-0.04247171793730162,0.7270117854588164,0.07661634580562242,0.5284302896976267,0.6770861394720861,1.2309029971676866e-10
I24T-gNSF-r2-In-F14-VS-N70-W,0.4760462823429363,3.109470301099165e-05,0.4788670473290912,2.747053604752671e-05,0.4776148638835278,2.9027977243107696e-05,0.2841667275692913,0.01712211858999547
I24U-gNSF-r2-In-F14-VS-N70-W,0.38705374238430396,0.000932815572301526,0.3847019785086492,0.0010082207598609506,0.3269033590007443,0.005742167198899424,0.4467991010674616,0.00010562475519714004
I25T-gNSF-r2-Tr-F14-VS-N70-W,0.12245569668642925,0.3125444741554909,0.11568274600644647,0.3402604165709953,0.09055547317988047,0.4559493910593404,0.7597269822869608,2.4440289965857885e-14
I25U-gNSF-r2-Tr-F14-VS-N70-W,0.2400503600715208,0.04532629983381007,0.1708968463222015,0.15721212553993866,0.4601968211274508,6.115924685247816e-05,0.7272728350056915,1.0047643738961056e-12
I26T-gNSF-r2-Di-F14-VS-N70-W,0.675672234159331,1.3903948794477022e-10,0.5256332261890146,2.9758251541724368e-06,0.4562349209747511,7.205528149490837e-05,0.486885296613318,1.919864144310233e-05
I26U-gNSF-r2-Di-F14-VS-N70-W,0.37006296369552205,0.0016150702290940778,0.39970784705629103,0.000607887976292218,0.5711205764827155,2.431497156339573e-07,0.5599864540642843,4.6471475229193453e-07
I27T-gNSF-r2-In-F14-VS-N70-W,0.4023841109960453,0.0005540417232265066,0.4506868604360673,9.034768422409013e-05,0.4929118925649864,1.4579064391439301e-05,0.41025129228993695,0.000419923722481109
I27U-gNSF-r2-In-F14-VS-N70-W,0.2155030643942226,0.07318428483621002,0.2223598226699829,0.06429419575782921,0.1681637282176354,0.16405641665838566,0.37431604559778014,0.0014115804752829896
I28T-gNSF-r2-Di-F14-VS-N70-W,0.445918663912898,0.00010940011928084848,0.4576853906213984,6.787335628836692e-05,0.2943851544815973,0.013370762180342421,0.5634034366435827,3.8189773312687985e-07
I28U-gNSF-r2-Di-F14-VS-N70-W,0.20964333971365395,0.08153764893589252,0.1352692115534916,0.2642054007386068,0.1283087212230778,0.28979953388335605,0.3080845601009349,0.009468700898535055
I29T-gNSF-r2-Tr-F14-VS-N70-W,0.22098863334874036,0.06599853461714314,0.2208555492350875,0.06616587314660062,0.3079239754784303,0.00950794885922092,0.6215519027700505,9.356451657590407e-09
I29U-gNSF-r2-Tr-F14-VS-N70-W,0.2160594975057282,0.07242802789543494,0.28067488647866656,0.018595914334555017,0.3565943701865529,0.002445149103878833,0.4948027297158728,1.3358468901555465e-05
I30T-gNSF-r2-In-F14-VS-N70-W,0.2472713879957884,0.03904268026355084,0.24664192015695025,0.03955996183983105,0.12488094559211765,0.30298412867836555,0.6239015153995582,7.925030049242065e-09
I30U-gNSF-r2-In-F14-VS-N70-W,0.12363399137441758,0.3078756257409861,0.12102846647457086,0.3182604410056769,0.11159720028780168,0.3577009115733366,0.22717336039180372,0.05859039742193487
