RespondentID,Purchased response?,Source,L1 Eng?,L1s,Other Ls,Country,Age,Gender,years Eng,Eng residence,1stOr2ndResponse,What is happening?
5178181180,yes,NSv2pt2,Yes,,,USA,31,male,,USA 31 years,1,0
5178181180,yes,NSv2pt2,Yes,,,USA,31,male,,USA 31 years,2,0
5178168754,yes,NSv2pt2,Yes,,,USA,44,male,,USA 44 years,1,0
5178168754,yes,NSv2pt2,Yes,,,USA,44,male,,USA 44 years,2,0
5178168691,yes,NSv2pt2,Yes,,,USA,44,male,,USA 44 years,1,0
5178168691,yes,NSv2pt2,Yes,,,USA,44,male,,USA 44 years,2,0
5178166680,yes,NSv2pt2,Yes,,,USA,67,male,,USA 67 years,1,0
5178166680,yes,NSv2pt2,Yes,,,USA,67,male,,USA 67 years,2,0
5178154166,yes,NSv2pt2,Yes,,,,,,,,1,0
5178154166,yes,NSv2pt2,Yes,,,,,,,,2,0
5178152722,yes,NSv2pt2,Yes,,,USA,69,male,,USA 69 years,1,0
5178152722,yes,NSv2pt2,Yes,,,USA,69,male,,USA 69 years,2,0
5178151775,yes,NSv2pt2,No,Spanish,,,,,2 - 3 years,,1,0
5178151775,yes,NSv2pt2,No,Spanish,,,,,2 - 3 years,,2,0
5178148008,yes,NSv2pt2,Yes,,,USA,54,male,,USA 54 years,1,0
5178148008,yes,NSv2pt2,Yes,,,USA,54,male,,USA 54 years,2,0
5178145281,yes,NSv2pt2,Yes,,,USA,63,male,,,1,0
5178145281,yes,NSv2pt2,Yes,,,USA,63,male,,,2,0
5178139052,yes,NSv2pt2,Yes,,,USA,46,female,,USA 46 years,1,0
5178139052,yes,NSv2pt2,Yes,,,USA,46,female,,USA 46 years,2,0
5178137492,yes,NSv2pt2,Yes,,,USA,25,female,,Ireland 1.5 months,1,0
5178137492,yes,NSv2pt2,Yes,,,USA,25,female,,Ireland 1.5 months,2,0
5178136854,yes,NSv2pt2,Yes,,,USA,24,female,,USA 24,1,0
5178136854,yes,NSv2pt2,Yes,,,USA,24,female,,USA 24,2,0
5178135397,yes,NSv2pt2,No,,,Canada,54,female,10 years or more,Canada 54 years,1,0
5178135397,yes,NSv2pt2,No,,,Canada,54,female,10 years or more,Canada 54 years,2,0
5178135042,yes,NSv2pt2,Yes,,,USA,19,female,,USA 19 years,1,0
5178135042,yes,NSv2pt2,Yes,,,USA,19,female,,USA 19 years,2,0
5178134904,yes,NSv2pt2,Yes,,,USA ,42,male,,USA 42 years,1,0
5178134904,yes,NSv2pt2,Yes,,,USA ,42,male,,USA 42 years,2,0
5178134138,yes,NSv2pt2,Yes,,,USA,42,female,,USA  42 years,1,0
5178134138,yes,NSv2pt2,Yes,,,USA,42,female,,USA  42 years,2,0
5178133919,yes,NSv2pt2,Yes,,,USA,26,female,,USA 26 years,1,0
5178133919,yes,NSv2pt2,Yes,,,USA,26,female,,USA 26 years,2,0
5178133730,yes,NSv2pt2,Yes,,,USA,41,female,,USA 41 years,1,0
5178133730,yes,NSv2pt2,Yes,,,USA,41,female,,USA 41 years,2,0
5178133646,yes,NSv2pt2,Yes,,,USA,77,female,,USA 77 years,1,0
5178133646,yes,NSv2pt2,Yes,,,USA,77,female,,USA 77 years,2,0
5178133357,yes,NSv2pt2,No,,,,,,,,1,0
5178133357,yes,NSv2pt2,No,,,,,,,,2,0
5178132638,yes,NSv2pt2,Yes,,,USA,37,male,,USA 37 years,1,0
5178132638,yes,NSv2pt2,Yes,,,USA,37,male,,USA 37 years,2,0
5178132595,yes,NSv2pt2,Yes,,,USA,54,male,,USA,1,0
5178132595,yes,NSv2pt2,Yes,,,USA,54,male,,USA,2,0
5178129650,yes,NSv2pt2,Yes,,,USA,19,female,,USA 19 years,1,0
5178129650,yes,NSv2pt2,Yes,,,USA,19,female,,USA 19 years,2,0
5178129205,yes,NSv2pt2,Yes,,none,,,,,,1,0
5178129205,yes,NSv2pt2,Yes,,none,,,,,,2,0
5178126588,yes,NSv2pt2,Yes,,,USA,23,female,,USA 23 years,1,0
5178126588,yes,NSv2pt2,Yes,,,USA,23,female,,USA 23 years,2,0
5178125695,yes,NSv2pt2,Yes,,,USA,40,male,,None,1,0
5178125695,yes,NSv2pt2,Yes,,,USA,40,male,,None,2,0
5178125365,yes,NSv2pt2,Yes,,Spanish,USA,33,male,,USA 33 years,1,0
5178125365,yes,NSv2pt2,Yes,,Spanish,USA,33,male,,USA 33 years,2,0
5178124780,yes,NSv2pt2,Yes,,,USA,25,female,,USA 25 years,1,0
5178124780,yes,NSv2pt2,Yes,,,USA,25,female,,USA 25 years,2,0
5178123609,yes,NSv2pt2,Yes,,,USA,34,female,,USA 34 years,1,0
5178123609,yes,NSv2pt2,Yes,,,USA,34,female,,USA 34 years,2,0
5178123464,yes,NSv2pt2,Yes,,,USA,29,female,,USA 29 years ,1,0
5178123464,yes,NSv2pt2,Yes,,,USA,29,female,,USA 29 years ,2,0
5178123421,yes,NSv2pt2,Yes,,,,46,male,,,1,0
5178123421,yes,NSv2pt2,Yes,,,,46,male,,,2,0
5178120798,yes,NSv2pt2,Yes,,French,USA,19,male,,USA 19 years,1,0
5178120798,yes,NSv2pt2,Yes,,French,USA,19,male,,USA 19 years,2,0
